Variable,SHAP,class
강수량,0.07064408491558423,짙음
지면온도,-0.11148496755445357,짙음
기온,-0.1518466916094543,짙음
시간의 cos주기,-0.1658578005682178,짙음
10분 평균 풍속(m/s),-0.1700863642055137,짙음
달의 cos주기,0.17177743821566108,짙음
AWS 안개 생성 지표,0.18580551044461707,짙음
이슬점 온도,0.19305915988339617,짙음
풍향의 cos주기,-0.2035647496150961,짙음
시간의 sin주기,0.28010698933748385,짙음
습도(100%),0.28604855382960986,짙음
풍향의 sig주기,0.3012602482232438,짙음
달의 sin주기,-0.320095231814106,짙음
지면온도와 이슬점 차이,-0.3237272079546383,짙음
10분 평균 일조량,-0.3521521932926774,짙음
기온과 이슬점 차이,-0.5891768262595467,짙음
지면온도,-0.1107840644707824,보통
강수량,0.11634157732790701,보통
이슬점 온도,0.1422430825857798,보통
풍향의 cos주기,-0.1565299808389451,보통
달의 cos주기,-0.16666803376504416,보통
시간의 cos주기,-0.1689935234355145,보통
AWS 안개 생성 지표,0.17152870848065357,보통
기온,-0.1849004294172692,보통
10분 평균 풍속(m/s),-0.18872064191531807,보통
풍향의 sig주기,-0.21661979674070933,보통
시간의 sin주기,0.23149605093061484,보통
습도(100%),0.29284661996361094,보통
지면온도와 이슬점 차이,-0.3164273445097672,보통
10분 평균 일조량,-0.32302970895729105,보통
달의 sin주기,-0.3243382958284949,보통
기온과 이슬점 차이,-0.6429275760298474,보통
지면온도,-0.104263926333881,옅음
AWS 안개 생성 지표,0.10538957105740514,옅음
풍향의 sig주기,-0.127050697438561,옅음
달의 cos주기,-0.13854195660333002,옅음
풍향의 cos주기,-0.1477018587318128,옅음
10분 평균 풍속(m/s),-0.16005980271857734,옅음
기온,-0.16325693583244522,옅음
10분 평균 일조량,-0.1772843184586675,옅음
강수량,0.18375567537092055,옅음
달의 sin주기,-0.18820614388557916,옅음
이슬점 온도,0.18881207141554324,옅음
시간의 sin주기,0.21782609514048815,옅음
지면온도와 이슬점 차이,-0.26006379330753054,옅음
습도(100%),0.29184712444323013,옅음
시간의 cos주기,-0.29230598237514027,옅음
기온과 이슬점 차이,-0.6442297290344725,옅음
풍향의 sig주기,-0.001294900215772453,없음
풍향의 cos주기,0.0017530054887335905,없음
10분 평균 풍속(m/s),-0.0024102275403717574,없음
시간의 cos주기,-0.003033493751512668,없음
시간의 sin주기,-0.0034648332042673986,없음
강수량,0.004211419115702354,없음
지면온도와 이슬점 차이,0.005502952811461698,없음
습도(100%),0.005534186973651816,없음
10분 평균 일조량,-0.0059445371563884115,없음
기온과 이슬점 차이,0.009411847975515268,없음
AWS 안개 생성 지표,-0.011037301576736219,없음
달의 sin주기,-0.018654972562773896,없음
달의 cos주기,-0.02295336013816777,없음
이슬점 온도,-0.023770888557004613,없음
지면온도,0.030419307752431353,없음
기온,0.03292023964550171,없음
